               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.7818,              8.0451,              4.6259,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0704,           0.0032889,           0.0032889
                   1,              0.9534,              6.2438,              2.2702,            0.019757,                   1,            0.048472,            0.048372,                   0,                   0,                   0,            0.040387,           0.0066091,           0.0066091
                   2,             0.43825,              5.0733,              1.4291,            0.012756,                   1,            0.051603,            0.046379,                   0,                   0,                   0,            0.010361,           0.0099161,           0.0099161
                   3,             0.22657,              4.3955,              1.2174,                0.02,                   1,              0.0625,            0.061394,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,             0.17418,              3.9663,              1.1853,                0.02,                   1,            0.058923,            0.056412,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,             0.15806,              3.6693,              1.1831,                0.02,                   1,            0.064652,            0.064639,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,             0.14086,              3.4694,              1.1705,            0.021315,             0.96533,            0.050826,            0.048319,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   7,             0.13903,              3.3395,              1.1623,            0.020412,                   1,            0.092131,            0.092074,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,             0.13249,              3.2419,               1.153,            0.021085,                   1,            0.089586,            0.089586,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,             0.12455,              3.1538,                1.15,            0.020927,                   1,             0.10412,            0.099803,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,             0.12163,              3.1134,              1.1587,            0.020774,                   1,             0.13663,             0.13642,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,             0.12183,              3.0605,              1.1505,            0.026137,             0.98854,             0.10342,             0.10025,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  12,             0.12325,              3.0475,              1.1538,            0.019692,                0.98,             0.10236,              0.1017,                   0,                   0,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,             0.11637,              3.0101,              1.1534,              0.2984,             0.41706,             0.12242,             0.12107,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,             0.11978,              2.9811,              1.1536,            0.023496,               0.981,              0.1131,             0.11145,                   0,                   0,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,             0.10593,              2.9484,              1.1421,             0.36642,             0.32233,             0.17243,             0.17217,                   0,                   0,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,             0.10633,              2.9246,              1.1514,             0.48132,             0.29475,              0.1502,             0.14245,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  17,             0.10147,              2.8894,              1.1443,             0.87131,             0.12626,             0.18774,             0.18639,                   0,                   0,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,             0.10762,              2.8863,              1.1489,             0.15815,              0.3571,             0.16916,             0.16707,                   0,                   0,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.097191,              2.8403,              1.1465,             0.44925,             0.26433,             0.19597,             0.19495,                   0,                   0,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,             0.10452,              2.8122,              1.1587,             0.62768,             0.19758,             0.22675,             0.22667,                   0,                   0,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.098595,              2.7815,              1.1396,             0.42795,             0.29523,             0.22772,             0.22772,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.095285,              2.7377,              1.1487,             0.45012,             0.26574,             0.22066,             0.22041,                   0,                   0,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.095899,              2.6848,              1.1364,             0.40598,             0.30281,             0.25318,              0.2497,                   0,                   0,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,             0.09949,              2.6587,              1.1406,             0.40732,             0.31627,             0.25576,             0.25348,                   0,                   0,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.093268,              2.6371,              1.1423,             0.43825,             0.34279,             0.27441,             0.27269,                   0,                   0,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,            0.095109,              2.5985,              1.1426,             0.45097,             0.36708,             0.29388,             0.29099,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.092593,              2.5613,              1.1368,              0.4596,             0.31782,             0.26229,             0.26188,                   0,                   0,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.089313,              2.5479,              1.1411,             0.47935,             0.32876,             0.30792,               0.307,                   0,                   0,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,             0.09188,              2.5336,              1.1353,             0.51862,             0.33622,             0.30127,             0.30127,                   0,                   0,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.088904,              2.4733,              1.1389,             0.48611,             0.33433,             0.31646,             0.31639,                   0,                   0,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.089116,              2.4454,              1.1397,             0.47364,             0.34367,             0.29796,             0.29778,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.090663,              2.4482,              1.1466,             0.39129,             0.45655,             0.34813,             0.33988,                   0,                   0,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.085158,              2.3941,              1.1365,             0.70291,             0.26442,             0.30819,             0.30803,                   0,                   0,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.087144,              2.3946,              1.1458,             0.52227,             0.36667,              0.3375,             0.33708,                   0,                   0,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.088648,              2.3531,              1.1357,             0.36125,             0.37683,             0.34312,               0.343,                   0,                   0,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.090699,              2.3445,              1.1323,             0.87448,             0.26435,              0.3995,             0.39535,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.083321,              2.3301,              1.1303,             0.40514,             0.41567,              0.3546,             0.35081,                   0,                   0,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.081995,              2.3296,              1.1446,             0.40212,             0.42484,             0.37761,             0.37551,                   0,                   0,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.082331,              2.2785,              1.1355,             0.84557,             0.24167,              0.3494,             0.34836,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.083689,              2.2872,               1.133,              0.5319,             0.38049,             0.39595,             0.39468,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
